VS2,VSe2,VTe2,MoS2,MoSe2,MoTe2,TiS2,TiSe2,TiTe2,WS2,WSe2,WTe2,ScS2,ScSe2,ScTe2,NiS2,NiSe2,NiTe2,V,Mo,Ti,W,Sc,Ni,S2,Se2,Te2,AvgFormE,AvgMass,AvgRadius,AvgElecNeg,WeightDif,Formation E
0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,10,0,0,16,4,0,-0.9146,88.90813332,113.667,2.50214,433.372,0.00425422
0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,10,0,0,18,2,0,-0.9598,85.78073333,112.667,2.50407,629.9526667,-0.00750373
0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,10,0,0,2,18,0,-0.5982,110.7999333,120.667,2.48863,942.6926664,-0.2509218
0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,10,0,0,4,16,0,-0.6434,107.6725333,119.667,2.49056,746.1119997,-0.18037049
0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,10,0,0,6,14,0,-0.6886,104.5451333,118.667,2.49249,549.5313331,-0.11983284
0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,10,0,0,8,12,0,-0.7338,101.4177333,117.667,2.49442,352.9506665,-0.07095035
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,9,0,20,0,-0.3241,71.75376667,122.5003,2.3177,582.2723334,-0.23362963
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,2,8,0,20,0,-0.4062,71.29586667,123.3336,2.2994,442.428,-0.58725366
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,3,7,0,20,0,-0.4883,70.83796667,124.1669,2.2811,302.5836667,-0.76333678
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,4,6,0,20,0,-0.5704,70.38006667,125.0002,2.2628,162.7393333,-1.89505938
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,5,5,0,20,0,-0.6525,69.92216667,125.8335,2.2445,22.895,-1.08168613
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,6,4,0,20,0,-0.7346,69.46426667,126.6668,2.2262,116.9493333,-1.35693353
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,7,3,0,20,0,-0.8167,69.00636667,127.5001,2.2079,256.7936667,-1.63358956
0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,8,2,0,20,0,-0.8988,68.54846667,128.3334,2.1896,396.638,-1.99884182
0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,9,1,0,20,0,-0.9809,68.09056667,129.1667,2.1713,536.4823334,-1.99157526
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,9,0,20,0,-0.3296,71.8508,121.8336,2.3237,581.302,0.15431594
